cam_id,gimbal_speed,pan_setpoint,tilt_setpoint,execution_time
3,1,-50,-5,0.5342968655750155
3,1,-45,-4,0.9944390999153256
3,1,-50,-3,2.40034592570737
3,1,-40,-2,1.1966166337952018
3,1,-50,-1,1.6009834841825068
3,1,-35,0,1.1897728936746716
3,1,-50,1,1.998546759132296
3,1,-30,2,1.197202666196972
3,1,-50,3,2.0021190773695707
3,1,-25,4,1.3941541747190058
3,1,-50,5,2.993731870315969
3,1,-20,-5,1.3963367491960526
3,1,-50,-4,2.199043460190296
3,1,-15,-3,1.3958274512551725
3,1,-50,-2,2.1897808108478785
3,1,-10,-1,1.4023676230572164
3,1,-50,0,2.592264525126666
3,1,-5,1,1.5997032457962632
3,1,-50,2,2.797927381005138
3,1,0,3,1.6207204349339008
3,1,-50,4,2.7668008897453547
3,1,5,5,1.9972534608095884
3,1,-50,-5,2.804664310067892
3,1,10,-4,1.9968888857401907
3,1,-50,-3,3.586555637884885
3,1,15,-2,1.9951977632008493
3,1,-50,-1,3.199908193200826
3,1,20,0,2.7930535580962896
3,1,-50,1,2.5948606207966805
3,1,25,2,3.0038642836734653
3,1,-50,3,2.9963882830925286
3,1,30,4,2.994170755147934
3,1,-50,5,3.1999588808976114
3,1,35,-5,2.7910237261094157
3,1,-50,-4,4.40431448770687
3,1,40,-3,3.599300872068852
3,1,-50,-2,2.791783825028688
3,1,45,-1,2.9984978483989835
3,1,-50,0,3.396730835083872
3,1,50,1,2.994531976059079
3,2,-50,2,6.198803649283946
3,2,-45,3,1.190980785060674
3,2,-50,4,1.7941003260202706
3,2,-40,5,1.4015959431417286
3,2,-50,-5,1.9929191833361983
3,2,-35,-4,1.4022819171659648
3,2,-50,-3,2.7971239970065653
3,2,-30,-2,5.988064785022289
3,2,-50,-1,3.2032681070268154
3,2,-25,0,1.596102150157094
3,2,-50,1,1.9911024239845572
3,2,-20,2,1.794511490035802
3,2,-50,3,3.604142020922154
3,2,-15,4,1.5912589668296278
3,2,-50,5,2.996591209433973
3,2,-10,-5,1.5972841489128768
3,2,-50,-4,2.4003773839212954
3,2,-5,-3,1.7982610343024137
3,2,-50,-2,2.990872852038592
3,2,0,-1,1.801950367167592
3,2,-50,0,2.595820584334433
3,2,5,1,2.192091576755047
3,2,-50,2,4.994630025234073
3,2,10,3,2.205723071936518
3,2,-50,4,3.5923613063059747
3,2,15,5,2.1923366100527346
3,2,-50,-5,3.004364277701825
3,2,20,-4,3.394295196980238
3,2,-50,-3,3.600197567138821
3,2,25,-2,2.988251858856529
3,2,-50,-1,2.8030516766011715
3,2,30,0,3.595305477268994
3,2,-50,1,3.19844165770337
3,2,35,2,2.992537420243025
3,2,-50,3,3.993483460973948
3,2,40,4,3.404205661267042
3,2,-50,5,3.395541355013848
3,2,45,-5,3.594511730130762
3,2,-50,-4,3.399443960282952
3,2,50,-3,3.7946039722301066
3,2,-50,-2,4.388846803922206
3,3,-50,-1,4.596617430914193
3,3,-45,0,1.5996904149651527
3,3,-50,1,2.996208160184324
3,3,-40,2,1.7914967467077076
3,3,-50,3,3.79804145405069
3,3,-35,4,1.8056993037462237
3,3,-50,5,2.988121838774532
3,3,-30,-5,1.9939795793034136
3,3,-50,-4,3.40333564998582
3,3,-25,-3,3.992942063137889
3,3,-50,-2,19.199782357085496
3,3,-20,-1,4.032114015892148
3,3,-50,0,2.993557799141854
3,3,-15,1,1.9919474190101027
3,3,-50,2,4.399057088885456
3,3,-10,3,1.9971345709636807
3,3,-50,4,3.99396312981844
3,3,-5,5,2.194724530912936
3,3,-50,-5,5.599222003016621
3,3,0,-4,2.1939817196689546
3,3,-50,-3,2.7892678049393
3,3,5,-2,13.19504086812958
3,3,-50,-1,8.59783704392612
3,3,10,0,2.59379817917943
3,3,-50,1,3.993823911994696
3,3,15,2,2.603750206064433
3,3,-50,3,3.992812981363386
3,3,20,4,4.9921502424404025
3,3,-50,5,4.203725116793066
3,3,25,-5,4.988682208117098
3,3,-50,-4,3.4039962608367205
3,3,30,-3,3.793833978008479
3,3,-50,-2,3.592670069076121
3,3,35,-1,3.803792864084244
3,3,-50,0,4.392864059656858
3,3,40,1,4.398435030132532
3,3,-50,2,3.797238897997886
3,3,45,3,4.196747503243387
3,3,-50,4,3.9977222392335534
3,3,50,5,4.399724992923439
3,4,-50,-5,8.191040687263012
3,4,-45,-4,1.7944818884134293
3,4,-50,-3,12.59897623769939
3,4,-40,-2,11.194838618859649
3,4,-50,-1,19.203306769020852
3,4,-35,0,2.3992636404000223
3,4,-50,1,3.2028778921812773
3,4,-30,2,2.59069039626047
3,4,-50,3,3.190828263293952
3,4,-25,4,2.399819958023727
3,4,-50,5,4.99653807701543
3,4,-20,-5,2.5921662230975926
3,4,-50,-4,4.405426720622927
3,4,-15,-3,11.798265527933836
3,4,-50,-2,
3,4,-10,-1,18.39150572894141
3,4,-50,0,4.59653255995363
3,4,-5,1,2.595516817178577
3,4,-50,2,5.000418279320002
3,4,0,3,2.594434508588165
3,4,-50,4,6.189292408991605
3,4,5,5,3.0043634362518787
3,4,-50,-5,6.196803698781878
3,4,10,-4,3.1888949619606137
3,4,-50,-3,6.191886126995087
3,4,15,-2,6.59759041108191
3,4,-50,-1,8.599359463434666
3,4,20,0,4.196001895703375
3,4,-50,1,4.196930133271962
3,4,25,2,4.991232020314783
3,4,-50,3,4.402152064722031
3,4,30,4,6.200225912965834
3,4,-50,5,4.990407289937139
3,4,35,-5,6.401871132198721
3,4,-50,-4,5.1932746027596295
3,4,40,-3,7.602118281181902
3,4,-50,-2,8.593334013130516
3,4,45,-1,8.600913626141846
3,4,-50,0,4.792032953817397
3,4,50,1,4.801185907796025
3,5,-50,2,5.794728040229529
3,5,-45,3,2.396704605780542
3,5,-50,4,3.800298867747188
3,5,-40,5,2.588257541880012
3,5,-50,-5,3.6010736552998424
3,5,-35,-4,2.7991218962706625
3,5,-50,-3,6.989714527968317
3,5,-30,-2,6.003336805384606
3,5,-50,-1,
3,5,-25,0,2.984184482134878
3,5,-50,1,4.606004961300641
3,5,-20,2,3.190303065814078
3,5,-50,3,4.804322855081409
3,5,-15,4,2.7976898001506925
3,5,-50,5,5.586454201955348
3,5,-10,-5,2.800168280024081
3,5,-50,-4,4.791046753991395
3,5,-5,-3,18.39563071168959
3,5,-50,-2,1.378124738112092
3,5,0,-1,7.788908059243113
3,5,-50,0,5.598897816147655
3,5,5,1,3.6004918878898025
3,5,-50,2,5.995878078043461
3,5,10,3,3.6017830432392657
3,5,-50,4,5.594312442000955
3,5,15,5,3.591658686287701
3,5,-50,-5,5.397117297630757
3,5,20,-4,6.798049295321107
3,5,-50,-3,1.3976383400149643
3,5,25,-2,
3,5,-50,-1,
3,5,30,0,4.585688352119178
3,5,-50,1,5.392801189329475
3,5,35,2,5.198024853132665
3,5,-50,3,6.600450817029923
3,5,40,4,5.2016476900316775
3,5,-50,5,5.193271733820438
3,5,45,-5,6.798000368755311
3,5,-50,-4,4.5946957897394896
3,5,50,-3,5.797592863906175
3,6,-50,-2,1.5912916022352874
3,6,-45,-1,
3,6,-50,0,4.190186695195735
3,6,-40,1,3.194803365971893
3,6,-50,2,4.803346813190728
3,6,-35,3,3.1924722590483725
3,6,-50,4,4.596433702856302
3,6,-30,5,3.3958912063390017
3,6,-50,-5,6.592671698890626
3,6,-25,-4,3.604430587030947
3,6,-50,-3,3.3821177380159497
3,6,-20,-2,
3,6,-50,-1,
3,6,-15,0,3.588598399423063
3,6,-50,1,4.994787957984954
3,6,-10,2,3.3992059864103794
3,6,-50,3,5.397937444038689
3,6,-5,4,3.5901615447364748
3,6,-50,5,5.205403232015669
3,6,0,-5,3.5962127479724586
3,6,-50,-4,5.996253701858223
3,6,5,-3,3.990334200207144
3,6,-50,-2,
3,6,10,-1,
3,6,-50,0,6.578077421057969
3,6,15,1,4.203429573215544
3,6,-50,2,6.389670549891889
3,6,20,3,6.40072469972074
3,6,-50,4,7.198657292407006
3,6,25,5,5.393272321671248
3,6,-50,-5,5.997284873388708
3,6,30,-4,5.39858658798039
3,6,-50,-3,4.793794421944767
3,6,35,-2,14.788619622122496
3,6,-50,-1,
3,6,40,0,6.800438000354916
3,6,-50,1,5.80061563430354
3,6,45,2,6.593664466403425
3,6,-50,3,5.593599994201213
3,6,50,4,6.193994325120002
3,7,-50,5,7.806818480603397
3,7,-45,-5,3.189675566740334
3,7,-50,-4,4.002036904916167
3,7,-40,-3,3.5871490761637688
3,7,-50,-2,
3,7,-35,-1,
3,7,-50,0,6.798087988048792
3,7,-30,1,3.9965699459426105
3,7,-50,2,5.593755419831723
3,7,-25,3,4.1940935417078435
3,7,-50,4,7.597822878044099
3,7,-20,5,4.6011658906936646
3,7,-50,-5,6.995653110090643
3,7,-15,-4,3.991159294731915
3,7,-50,-3,
3,7,-10,-2,
3,7,-50,-1,
3,7,-5,0,3.992663959041238
3,7,-50,1,7.389145069755614
3,7,0,2,4.201344057917595
3,7,-50,3,6.39564671413973
