cam_id,gimbal_speed,pan_setpoint,tilt_setpoint
3,1,-50,-5
3,1,-45,-4
3,1,-50,-3
3,1,-40,-2
3,1,-50,-1
3,1,-35,0
3,1,-50,1
3,1,-30,2
3,1,-50,3
3,1,-25,4
3,1,-50,5
3,1,-20,-5
3,1,-50,-4
3,1,-15,-3
3,1,-50,-2
3,1,-10,-1
3,1,-50,0
3,1,-5,1
3,1,-50,2
3,1,0,3
3,1,-50,4
3,1,5,5
3,1,-50,-5
3,1,10,-4
3,1,-50,-3
3,1,15,-2
3,1,-50,-1
3,1,20,0
3,1,-50,1
3,1,25,2
3,1,-50,3
3,1,30,4
3,1,-50,5
3,1,35,-5
3,1,-50,-4
3,1,40,-3
3,1,-50,-2
3,1,45,-1
3,1,-50,0
3,1,50,1
3,2,-50,2
3,2,-45,3
3,2,-50,4
3,2,-40,5
3,2,-50,-5
3,2,-35,-4
3,2,-50,-3
3,2,-30,-2
3,2,-50,-1
3,2,-25,0
3,2,-50,1
3,2,-20,2
3,2,-50,3
3,2,-15,4
3,2,-50,5
3,2,-10,-5
3,2,-50,-4
3,2,-5,-3
3,2,-50,-2
3,2,0,-1
3,2,-50,0
3,2,5,1
3,2,-50,2
3,2,10,3
3,2,-50,4
3,2,15,5
3,2,-50,-5
3,2,20,-4
3,2,-50,-3
3,2,25,-2
3,2,-50,-1
3,2,30,0
3,2,-50,1
3,2,35,2
3,2,-50,3
3,2,40,4
3,2,-50,5
3,2,45,-5
3,2,-50,-4
3,2,50,-3
3,2,-50,-2
3,3,-50,-1
3,3,-45,0
3,3,-50,1
3,3,-40,2
3,3,-50,3
3,3,-35,4
3,3,-50,5
3,3,-30,-5
3,3,-50,-4
3,3,-25,-3
3,3,-50,-2
3,3,-20,-1
3,3,-50,0
3,3,-15,1
3,3,-50,2
3,3,-10,3
3,3,-50,4
3,3,-5,5
3,3,-50,-5
3,3,0,-4
3,3,-50,-3
3,3,5,-2
3,3,-50,-1
3,3,10,0
3,3,-50,1
3,3,15,2
3,3,-50,3
3,3,20,4
3,3,-50,5
3,3,25,-5
3,3,-50,-4
3,3,30,-3
3,3,-50,-2
3,3,35,-1
3,3,-50,0
3,3,40,1
3,3,-50,2
3,3,45,3
3,3,-50,4
3,3,50,5
3,4,-50,-5
3,4,-45,-4
3,4,-50,-3
3,4,-40,-2
3,4,-50,-1
3,4,-35,0
3,4,-50,1
3,4,-30,2
3,4,-50,3
3,4,-25,4
3,4,-50,5
3,4,-20,-5
3,4,-50,-4
3,4,-15,-3
3,4,-50,-2
3,4,-10,-1
3,4,-50,0
3,4,-5,1
3,4,-50,2
3,4,0,3
3,4,-50,4
3,4,5,5
3,4,-50,-5
3,4,10,-4
3,4,-50,-3
3,4,15,-2
3,4,-50,-1
3,4,20,0
3,4,-50,1
3,4,25,2
3,4,-50,3
3,4,30,4
3,4,-50,5
3,4,35,-5
3,4,-50,-4
3,4,40,-3
3,4,-50,-2
3,4,45,-1
3,4,-50,0
3,4,50,1
3,5,-50,2
3,5,-45,3
3,5,-50,4
3,5,-40,5
3,5,-50,-5
3,5,-35,-4
3,5,-50,-3
3,5,-30,-2
3,5,-50,-1
3,5,-25,0
3,5,-50,1
3,5,-20,2
3,5,-50,3
3,5,-15,4
3,5,-50,5
3,5,-10,-5
3,5,-50,-4
3,5,-5,-3
3,5,-50,-2
3,5,0,-1
3,5,-50,0
3,5,5,1
3,5,-50,2
3,5,10,3
3,5,-50,4
3,5,15,5
3,5,-50,-5
3,5,20,-4
3,5,-50,-3
3,5,25,-2
3,5,-50,-1
3,5,30,0
3,5,-50,1
3,5,35,2
3,5,-50,3
3,5,40,4
3,5,-50,5
3,5,45,-5
3,5,-50,-4
3,5,50,-3
3,6,-50,-2
3,6,-45,-1
3,6,-50,0
3,6,-40,1
3,6,-50,2
3,6,-35,3
3,6,-50,4
3,6,-30,5
3,6,-50,-5
3,6,-25,-4
3,6,-50,-3
3,6,-20,-2
3,6,-50,-1
3,6,-15,0
3,6,-50,1
3,6,-10,2
3,6,-50,3
3,6,-5,4
3,6,-50,5
3,6,0,-5
3,6,-50,-4
3,6,5,-3
3,6,-50,-2
3,6,10,-1
3,6,-50,0
3,6,15,1
3,6,-50,2
3,6,20,3
3,6,-50,4
3,6,25,5
3,6,-50,-5
3,6,30,-4
3,6,-50,-3
3,6,35,-2
3,6,-50,-1
3,6,40,0
3,6,-50,1
3,6,45,2
3,6,-50,3
3,6,50,4
3,7,-50,5
3,7,-45,-5
3,7,-50,-4
3,7,-40,-3
3,7,-50,-2
3,7,-35,-1
3,7,-50,0
3,7,-30,1
3,7,-50,2
3,7,-25,3
3,7,-50,4
3,7,-20,5
3,7,-50,-5
3,7,-15,-4
3,7,-50,-3
3,7,-10,-2
3,7,-50,-1
3,7,-5,0
3,7,-50,1
3,7,0,2
3,7,-50,3
3,7,5,4
3,7,-50,5
3,7,10,-5
3,7,-50,-4
3,7,15,-3
3,7,-50,-2
3,7,20,-1
3,7,-50,0
3,7,25,1
3,7,-50,2
3,7,30,3
3,7,-50,4
3,7,35,5
3,7,-50,-5
3,7,40,-4
3,7,-50,-3
3,7,45,-2
3,7,-50,-1
3,7,50,0
3,8,-50,1
3,8,-45,2
3,8,-50,3
3,8,-40,4
3,8,-50,5
3,8,-35,-5
3,8,-50,-4
3,8,-30,-3
3,8,-50,-2
3,8,-25,-1
3,8,-50,0
3,8,-20,1
3,8,-50,2
3,8,-15,3
3,8,-50,4
3,8,-10,5
3,8,-50,-5
3,8,-5,-4
3,8,-50,-3
3,8,0,-2
3,8,-50,-1
3,8,5,0
3,8,-50,1
3,8,10,2
3,8,-50,3
3,8,15,4
3,8,-50,5
3,8,20,-5
3,8,-50,-4
3,8,25,-3
3,8,-50,-2
3,8,30,-1
3,8,-50,0
3,8,35,1
3,8,-50,2
3,8,40,3
3,8,-50,4
3,8,45,5
3,8,-50,-5
3,8,50,-4
